Category,Product Name,Customer Rating,Sentiment,Emotion,text
Kitchen,Onix Dispenser Galon Air Aqua Pompa Galon Automatic,2,Negative,Sadness,sudah macet harus di ketok2 dulu baru nyala mesin
Beauty,NEW ARRIVALS RAK KOSMETIK MULTIFUNGSI RAK KOSMETIK 3 LACI KOTAK MAKEUP - Putih,2,Negative,Sadness,orgdapet barang nya bgs..tapi saya dapet yg patah.
Sport,Extreme Fishing Pen Pancingan Pena Mini Saku Portable,3,Negative,Sadness,ada kekecewaan ketika lihat brg datang.....aq pikir barang beda dgn fishing pen yg ada dipasaran tp ternyata sma saja mlah ini meragukan ketahanannya.......lihat fto komentar smua typenya sma tp yg dikirim ke aq mlah beda.
Muslim Fashion,Sajadah Polos Tebal Bulu Tipis HITAM Aladeen - Size Dewasa Gratis Tas,4,Positive,Happy,pengiriman dan baramg sesuai yg diharapkan
Kitchen,Giza Grill Pan by SKITCHEN/Cast Iron PREMIUM/Panggangan Besi Cor,4,Positive,Happy,"bgs brgnya, semoga awet."
Camera,Magic Clamp / Magic Arm 11 Inch includ Super C-Clamp,5,Positive,Happy,"puas banget ?????????? barang sesuai harapan, kualitas bahan bagus dan kokoh..response penjual sangat baik (cepat) ..terima kasih banyak gan????????????sukses selalu ya.."
Precious Metal,UBS Logam Mulia BT21 Tiger 0.25 Gr,5,Positive,Happy,"mantap?? barang bagus banget, seller ramah dan responsif"
Body Care,Rudy Hady Suwarno Cosmetics Hair Growth Serum,5,Positive,Happy,barang original mantapp
Camera,Alas Foto 3D Midio Motif Cement Background Foto 3D Ukuran 53x100cm,3,Negative,Sadness,"barang udah sampai, tapi kondisinya sobek"
Mother and Baby,"CUIT Setelan Pendek Celana Pendek BLOCK COLOR - Merah, 19",3,Negative,Fear,biasa aja..harga lebih mahal dri toko sebelah
Office & Stationery,Deli Business Notebook Leather Cover 25K Buku Catatan Bahan Kulit 7911 - 25K 120 LEMBAR,1,Negative,Anger,"pelayanan sangat buruk, no debat!"
Office & Stationery,Lakban Bening KSATRIA Tape 200 Yard,1,Negative,Sadness,"riject bener2 kecewa, langganan bukan cuma beli sekali tapi barang ga di cek saat mau packing"
Other Products,pewarna sepatu canvas suede paint alus shoes - Biru,1,Negative,Fear,"d produk yang d jual mereknya alus shoes tp pas nyampe mereknya tumpah,, pesennya warna cream datengnya coklat muda ??"
Sport,5-60kg Adjustable Handgrip Hand Grip Alat Fitness Olahraga Otot Tangan,5,Positive,Love,1. pengiriman cepat 2. seller responsive 3. barang nya bagus 4. grip nya solid 5. meskipun bahan plastik tapi nyaman di genggam 6. adjust nya juga berfungsi dengan baik 7. harganya murah bgt 8. puas beli ini
Beauty,2IN1 KUTEK HALAL KUTEK 2 TONE KUTEK KOREA - B27,4,Negative,Anger,tidak komunikatif. wrn yg di pilih ga ada. sdh chat conform minta kirim yg ada aja. yg ga ada ga usa kirim. malah di kirim wrn asal�.
Computers and Laptops,Windows 10 Pro Original Lisensi - INVOICE,5,Positive,Love,"layanan sangat memuaskan, seller rekomended"
Beauty,L'Oreal Paris Revitalift Crystal Purifying Micellar Water Oil Free - 400 ml,4,Positive,Happy,"tepat waktu, harga cukup bersahabat & masih dpt bonus jg"
Electronics,Module KIT MP3 Player Bluetooth Lengkap 1 Set,2,Negative,Sadness,"packing kurang rapi, tidak aman,, dus penyok...player hancur....."
Household,Bantal Alas Duduk Silikon Gel Empuk Kualitas Premium Perlengkapan Ruma - Hitam,5,Positive,Happy,"baru dicoba untuk alas duduk beberapa jam, so far lumayan nyaman tapi masih belum terbiasa. selain empuk, juga bikin posisi duduk jadi tambah tinggi."
Carpentry,Filter Air REMAX / Saringan Air / Filter Keran Air,2,Negative,Sadness,"mungkin karena filternya terlalu canggih, jadi air yang keluar jadi kecil banget."
Women's Fashion,CD01 Celana Dalam CD Wanita Seemless 3D Japanese Style Honeycomb - grey,1,Negative,Sadness,kecil tipis dan kualitas jahit buruk
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,5,Positive,Love,"fast respond, sellernya ramah packing rapi pengiriman cepat... recommended"
Camera,kain background foto waterproof - Hitam,2,Negative,Sadness,"sorry banget nih, namanya review kan harus jujur ya,agak kecewa sama warnanya aja, pesannya mustard yg dateng orange, kupikir salah kirim ternyata menurut penjualnya mustard kayak gitu warnanya, padahal klo pun salah kirim saya gak nuntut apa apa"
Property,Jasa Duplikat Kartu Akses Apartemen/ Hotel - Polos,5,Positive,Happy,istimewa...akurat dan dicetak dengan sempurna
Automotive,LAMPU DEPAN LED PHILIPS M5 ORIGINAL 100% BEAT FI VARIO 125 MIO M3 DLL,5,Positive,Happy,produk original ??.
Carpentry,Cat tembok Interior Nucolour 25 kg tidak ngapur,5,Positive,Happy,"harga affordable, respon seller cepat langsung kirim. warna sesuai dan cat ga ngapur. mantab"
Gaming,Sup Gameboy Game Console 3 Inch 400 Games Retro FC Gamebox Classic - Biru,5,Positive,Love,"barangnya mantabs bingit,,,tokonya recommended banget,,,"
Food and Drink,Kripik Usus Ayam 1kg Super,1,Negative,Anger,"rasanya gak spt biasanya. pembelian yg ke 3 ini asin kebangetan !!! udah gitu packingannya cuma dibuble wrap, tdk diberi dos spt biasanya, sehingga kripiknya banyak yg hancur !!"
Animal Care,Kyojin pakan ayam bangkok raksasa,1,Negative,Anger,sangat jelek krn kiriman tidak lengkap
Women's Fashion,BA24 Dompet Pendek Wanita Original Baellery Stylish Wax Leather - red,3,Negative,Sadness,kurang puas sama dompetnya
Muslim Fashion,Sajadah Travel Motif Abu Dhabi - C - Ungu,4,Positive,Happy,"respon cepat, barang bagus"
Books,THE BOOK OF IKIGAI,5,Positive,Love,"buku original, harga sangat murah jauh dibandingkan ditempat lain, seller ramah, packing rapi, buble wrapnya sangat tebel banget, puas maksimal. terima kasih seller"
Women's Fashion,Rok Plisket - Rok Wanita Bahan Premium - CREAM,5,Positive,Happy,"jahitannya rapi. warnanya cantik ??. ukuran sesuai. ..semoga tetep amanah...sukses selalu,mksh"
Camera,MAMEN MIC-07 Pro Mini Shotgun Mic Microphone for Camera & Smartphone - - Hitam,3,Negative,Fear,"respon seller bagus tapi produknya tidak, suaranya kecil masih kalah dengan mic hp internal. harga sangat tidak sesuai dengan kualitas"
Mother and Baby,Pediasure Vanila 1800g (1-10 tahun) Susu Formula Pertumbuhan - 2 Pack,5,Positive,Happy,"selalu puas beli disini, cepet sampai packing rapih dpt hadiah pula"
Other Products,Cerutu Argopuros Box Isi 24,5,Positive,Happy,brg sdh diterima dg baik thanks
Men's Fashion,"Sepatu Boots AP Ultraflex Motor Outdoor Kebun Anti Air By AP Boots - Hijau, 40",3,Negative,Sadness,minta size 43 42 40 dikirim 42 semuanya tanpa ada konfirmasi dahulu
Muslim Fashion,HIJAB SPORT INSTAN/ HIJAB OLAHRAGA/ HIJAB PET SPORT TERMURAH - Milo,2,Negative,Sadness,lidah kerudung kelebaran
Gaming,NINTENDO SWITCH LEGEND OF ZELDA BREATH OF THE WILD,5,Positive,Happy,sudah tidak perlu diragukan lagi seller ini. mantap dah ??? tinggal tunggu waktu kosong untuk main zelda botw ini. baru tes masuk dan nyalakan saja berjalan lancar normal. belum sempat main semoga tidak ada kendala. packing superrrr aman dan kondisi bnib segel aman
Food and Drink,Dendeng Sapi l Dendeng Sapi Manis 200 gram,5,Positive,Love,mantaab p00000l.... ?????????? udh langganan...keluarga sangat syukaaaa...trims ??
Office & Stationery,Ball Pen Pulpen Pena Joyko BP-273 Zeto 0.7 mm 1 Box 12 Pcs,5,Positive,Happy,"respon toko cepat dan pengiriman lancar, barang dikemas dengan aman, mantap thanks."
Food and Drink,MALING WOST TTS BRAND 397GR (PORK LUNCHEON MEAT/NON HALAL),5,Positive,Happy,pelayanan top bgt.exp lama.stp beli maling slalu ke toko ini.the best seller
Phones and Tablets,USAMS PB56 Power Bank Lanyard 10000mAh DUAL USB 2.1A - Hitam,1,Negative,Fear,"unreliable. walau dptnya flash sale 69rb, tetep gak worth. cuma sekedar charge yg ringan� saja mgkn ok ??"
