Category,Product Name,Customer Rating,Sentiment,Emotion,text
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,5,Positive,Love,mantap!..jgn ragu2..langsung saja booking....recommended!..
Kids and Baby Fashion,"Legging Stripe Anak Perempuan 7 - 13 Th / Leging Strip / Lejing Polos - Hitam, polos",5,Positive,Happy,bahan adem pengiriman lumayan cepat
Phones and Tablets,Amazon Kindle Paperwhite 10th Gen EBook Reader Waterproof 8GB Ads - TWILIGHT BLUE,1,Negative,Sadness,"Baru 2 hari pemakaian, Kindle Paperwhite nya rusak. Penjual tidak mau di-return dan bantu klaim garansi. Sedih bangettt... ????????"
Kitchen,[FREE BUBBLE] POMPA GALON AIR MINUM ELECTRIC WIRELESS,5,Positive,Happy,Alhamdulillah bagus Material Produk Bagus. Produk Sesuai. Produk Berfungsi Dengan Baik.
Other Products,"Hang Tag Label / Hang Tag Baju / Pakaian / Kartu Ucapan - Art Carton 210, Custom Size",2,Negative,Anger,lubang nya jelek bgt
Body Care,Kahf Revered Oud Eau de Toilette 35 ml,1,Negative,Sadness,Kecewa wanginya biasa aja. Wanginya ga tahan 1 jam boro2 bisa 12 jam sprti iklannya. Masih bagus bibit parfum pinggir jalan deh.
Muslim Fashion,Jilbab Pashmina Plisket Diamond Hijab Pasmina Lipit ORI Murah Kekinian - Army,2,Negative,Sadness,"agak kecewa sih,jilbabnya ukuran kecil banget,gak bisa dipakai untuk dewasa.."
Household,POT BUNGA MOTIF TAWON PUTIH - 10,3,Negative,Fear,"produk ada yang cacat/bolong dari pabriknya pengemasan kurang aman, barang ada yang pecah karena bantingan/benturan."
Other Products,Cetak Foto Print Digital Lab Ukuran 40x60 20RS A2 Pameran Paper Luster,2,Negative,Fear,"Kualitas bukan foto asli, tapi hanya cetakan foto digital dgn kretas kualitas rendah. Kami tidak bisa menggunakan ini untuk exhibition kami karena kualitasnya terlalu rendah."
Office & Stationery,Deli Business Notebook Leather Cover 25K Buku Catatan Bahan Kulit 7911 - 25K 120 LEMBAR,1,Negative,Anger,adminnya kebanyakan bac00t.. lamban bgt.. kecewa banget dehhh
Party Supplies and Craft,Kardus untuk keamanan packing,1,Negative,Fear,"percuma tambah packing klo kardus susu tetap penyok.. cara kemas tuh jangan ngepres sama kardusnya, biar ketika kardus ketekan, kemasan susunya tidak rusak langsung..."
Property,Panen telur - Oxihom Baskom Saringan Tirisan K1903 - Cokelat,5,Positive,Happy,"model dan warnanya manis,kwalitas bahannya bagus..."
Other Products,Cerutu Argopuros Box Isi 24,5,Positive,Happy,Brg sdh diterima dg baik thanks
Women's Fashion,Daster Polos Ruffle / Daster remple Rayon - Mint,3,Negative,Sadness,Bahannya luntur & agak lebih tipis dari yg tempat lain.
Phones and Tablets,Amazon Kindle Paperwhite 10th Gen EBook Reader Waterproof 8GB Ads - TWILIGHT BLUE,2,Negative,Fear,"ribet pemakaian , gk di saranin beli"
Health,Peppermint Essential Oil / Minyak Mint Aroma Terapi Pure 10ml - MUSIM,5,Positive,Love,bagus banget
Mother and Baby,MOOIMOM Breathable Hipseat Carrier Gendongan Bayi - Navy Blue,5,Positive,Happy,Sesuai order. Modelnya bagus dan nyaman. Cepat dan aman
Precious Metal,Minigold Black Series Logam Mulia Koin Emas Mini 24 Karat 0.025 gram,5,Positive,Love,"harganya murce bgt, drpd jajan yg enggak enggak mending jajan emas untuk ditabung. seller gercep, dekat dr rumah jd kayanya bakalan langganan ini. terima kasih"
Gaming,ps3 fat hdd 80gb cfw 4.75 full game terbaru + stik wireless,2,Negative,Sadness,"Awalnya bintang 5, setelah beberapa bulan pakai. Ternyata ada part yang hilang seperti baut"
Office & Stationery,Gel Pen / Pulpen / Pena Joyko GP-265 / Q Gel / 0.5 mm - Black,5,Positive,Love,"Merek pena favoritt, murah, tintanya nyata, ga pernah macet, selalu smooth klo buat nulis"
Carpentry,Lem sepatu super kuat bening(transparant) 100ml Dyron,1,Negative,Anger,chat tidak dibalas pengiriman baru diproses ketika masa aktif sdah habis kacaw??
Automotive,Black Retrim - Penghitam Bodi Plastik Dasbor Motor Mobil Permanen,5,Positive,Love,Ban jadi hitam kembali! Mantap.
Toys and Hobbies,UNO Card,5,Positive,Happy,Kartu nya lengkap Seru bgt game nya! Harga Kompetitif
Kitchen,Tefal Cook & Clean Frypan 24cm Wajan Anti Lengket,5,Positive,Love,"mantap, recommended seller"
Beauty,IKAT RAMBUT KOREA TOWEL RING SET ISI 40 PCS - All black,5,Negative,Sadness,"sebenernya barangnya ok. tapi pengirimannya lama banget, pesan tgl 9 masa sampainya tgl 17 ????????"
Property,Jasa Duplikat Kartu Akses Apartemen/ Hotel - Polos,5,Positive,Love,order yang ketiga. gercep. barang oke. pelayanan juga oke
Movies and Music,Szs drum pad economist,5,Positive,Happy,"bagus, barang sampai cepat"
Beauty,Madame Gie Nailmoji Nude Series (Satuan) - Shimashima,1,Negative,Fear,"kecewa banget pengiriman hanya dibungkus buble wrap doang sehinga ptodak ada yg pecah , dan ada prodak yg bocor tetap dikirim ketika dikomplain disuruh kirim balik bayar ongkosnya rp 10 ribu tapi dikembalikan hanya rp 6 ribu sj , quality kontrolnya jelek , pengemasan nya seadanya sj"
Men's Fashion,Techdoo Kaos Kaki Ankle All Size 35-45 Kaoskaki Pendek KK01 - Putih,1,Negative,Sadness,"Saya order hitam (4 pcs) dan abu-abu (2pcs). Yang datang justru sebaliknya, hitam (2pcs) dan abu-abu (4pcs)"
Property,fajar berlian ungu - Ungu,5,Positive,Love,Muaanntttaaappp.. Seperti syamsul..
Beauty,FOCALLURE Makeup sponge makeup tools soft and professional FA93 - Waterdrop,3,Negative,Sadness,"agak cacat dikit spongenya, kirain pas nyampe bener2 mulus gak ada cacat nya"
Toys and Hobbies,Iron Man Mark 50 Action Figure Recast,5,Positive,Love,bagus banget
Men's Fashion,KK50 Kaos Kaki Original Serat Bambu Arang Bamboo Pendek Semata Kaki - black,4,Positive,Happy,"barang sesuai gambar, pengirimannya bisa lebih dipercepat, akan lebih mantap.."
Electronics,Telephone rumah single line analog standar panasonic KX-TS505 SECOND - Merah,3,Negative,Sadness,Ujung kabel colokan dari gagang telepon ke pesawat telepon sudah tidak bisa terpasang sempurna.
Food and Drink,Pastel Wawa since 2006,5,Positive,Happy,"Enakk banget, isinya banyak, saosnya mantap. Seller ramah. Thank you!"
Phones and Tablets,Createkat Katfit Watch Band SPO2 Tracker - Biru,1,Negative,Sadness,barangnya gak berfungsi
Camera,Helmet Front Mounting buat nge vlog mounting helm Xiaomi yi atau Gopro - Tanpa Pivot,5,Positive,Love,"Pengiriman cepat, packaging oke, seller ramah, recommended sih, udah berkali-kali beli di sini. Kualitas juga oke, mantapp min, tingkatkan"
Men's Fashion,EIGER FLECKEN LANDSCAPE WALLET - Black,5,Positive,Happy,Ukuran sesuai. Modelnya keren ??. Potongannya rapi. Nyaman dipakai. Jahitannya rapi.
Sport,Speeds Door Chinning Bar / Pull UP bar Speeds / Iron Gym 013-4,1,Negative,Fear,Bulatan besi yg disekrup tidak ada dan salah satu ujungnya tidak bisa diputar.
Gaming,"Ps2 fat Hdd external murah Playstation Ps 2 fat Sony - Hardisk 20GB, TANPA MEMORY",2,Negative,Sadness,"Banyak sekali game yang nge hang dan game yang sama tapi direname munkin biar banyak aja gamenya padahal ada 3 game yang sama, Stick nya ada yang error ketika game yang ada effect vibrationnya, harusnya dicoba dulu sebelum pengiriman"
Household,Alat PEL Lantai Otomatis SAMONO Clear Mop Alat Pel Praktis SCM002,5,Positive,Love,"fix aku cinta sama ini produk bahannya solid, dan bekerja sesuai deskripsi. bakal beli lagi!!!"
Beauty,2IN1 KUTEK HALAL KUTEK 2 TONE KUTEK KOREA - B26,4,Negative,Sadness,"barang dateng tidak sesuai dengan pesanan, beda warna"
Other Products,Unyelowing Remover / Sole Bright,1,Negative,Sadness," sangat kecewa sekali, tidak profesional sama sekali. sy beli 2 dikirim cuma 1. Dan tdk ada info apapun dari penjual"
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,5,Positive,Happy,"Barangnya original ??. Kemasan disegel. tapi kok gk ad buku garansi'y, sma anti gores, & sofkesWarna sesuai pesanan."
Toys and Hobbies,rak hotwheels isi 20 akrilik/acrylic - Hitam,3,Negative,Fear,Proses cepat produk bagus finising mulus.. Cuma saran om di bagian pengelam agak fi tingkatkan ada beberan sisi yg kurang nempel soal nya. Sama lobang buat gantungan nya agak d besarkan om. Terima kasih
Precious Metal,RM New 2 g,5,Positive,Happy,"Mantul dan saat pengiriman diterima oleh saya langsung, jadi terjamin aman."
Toys and Hobbies,karet ketapel 6mm 3060 slingshot,5,Positive,Happy,ukuran karet sesuai . Mantul...?? dan waktu pengiriman lebih cepat dari jadwalnya... mantap dah... is the best..??
Carpentry,Angle Grinder / Mesin Gerinda Tangan Orion - HG-954,1,Negative,Fear,"mesin kasar, pelayanan kurang"
Toys and Hobbies,Pokeball,1,Negative,Anger,Harga mahal dan ga sesuai ekspetasi. Cat ga rapih dan bahan kyk plastik murahan
Muslim Fashion,mukena dewasa katun polos jumbo renda terbaru kekinian hits - Putih,1,Negative,Sadness,"Megecewakan. sy hendak tukar warna, mbak nya iya� aja eeh dikirimnya ttp warna yg salah. padahal kalau tidak bisa ditukar kan bisa sy batalkan"
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,5,Positive,Happy,"Respond cepat, packing aman, barang sesuai deskripsi, recommended"
Books,Buku Gambar Arsitektur,5,Positive,Happy,bagus dan cepat
Movies and Music,Busa Profil Peredam Suara Telur Murah,1,Negative,Fear,barang yg saya terima dari 9 hanya 1 kondisi masih bagus dan layak pakai
Automotive,Orios LED H6/M5 DC 6000K Lampu Motor,5,Positive,Happy,"barang cepat sampai, bolamnya awet dan terang banget, tokonya baik kurir baik, jangan ragu beli di toko ini...."
Office & Stationery,Joyko Whiteboard Marker Spidol Papan Putih - Black,5,Positive,Happy,"packing rapih, barang ORI, berkualitas, harga murah"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,1,Negative,Sadness,Mic dari awal ga nyala
Beauty,Jedai Jepit Rambut 5 Cm Ufa Thailand 2 warna 6 pcs - PAKET 18,5,Positive,Love,"udah pembelian ke 2, awet dan tahan lama.. gak gampang rusak... paling beli lagi karena ilang ato dipinjem gak dibalikin"
Muslim Fashion,HIJAB SEGI EMPAT AUTHENTISM BASIC RACHITA VOAL/LAMINA VOAL / ULTRAFINE - TALYA,2,Negative,Fear,barang gak sesuai..order warna hitam polos yg dtg malah motif
Office & Stationery,Whiteboard gantung 90 x 120 cm,5,Positive,Happy,"Alhamdulilah barangnya sudah sampe, ukurannya juga besar sesuai yg di gambar, mudah2an bermanfaat buat kegiatan belajar mengajar kami di pesantren"
